What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Male,67,65+,Republican,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Incorrect,Frederick Hayek,40,FALSE,TRUE,FALSE,Barack Obama,,
Male,49,45-54,Independent,Not Very Strong conservative,High school or less,,Latino,,DK/REF,More knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,55,55-64,Democrat,Strong Conservative,College degree,,Latino,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Billions,High GDP,DK/REF,,63,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,23,18-24,Democrat,Strong Liberal,College degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,18,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,50,45-54,Republican,5,Some college,,Latino,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a month,Billions,DK/REF,Incorrect,,20,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,59,55-64,Democrat,5,Some college,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,DK/REF,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
DK/REF,52,45-54,Democrat,5,DK/REF,,Asian,,Strongly Disapprove,Less knowlegeable,Not very well informed,More than once,Trillions,High GDP,Incorrect,,30,FALSE,FALSE,TRUE,Barack Obama,Don't know,
Female,58,55-64,Republican,Not very Strong Liberal,Graduate degree,,White,,Strongly Approve,DK/ REF,Well Informed,Once a year,Millions,High GDP,DK/REF,,,TRUE,TRUE,TRUE,Barack Obama,Don't know,Don't know
Female,50,45-54,Independent,5,Some college,,DK/REF,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,25,DK/REF,DK/REF,FALSE,Barack Obama,Don't know,
Female,39,35-44,DK/REF,DK/REF,College degree,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,DK/REF,,60,TRUE,FALSE,FALSE,Vladimir Putin,Don't know,
Female,47,45-54,Republican,5,College degree,,White,,Neither approve nor disapprove,Less knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,GREENSPAN,40,TRUE,TRUE,FALSE,Barack Obama,,
Female,38,35-44,Democrat,Not very Strong Liberal,Some college,,Other,Mixed race,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,DK/REF,Incorrect,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,55,55-64,Independent,5,College degree,,Black,,Somewhat Disapprove,More knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,,FALSE,TRUE,TRUE,Barack Obama,Don't know,Don't know
Female,55,55-64,Democrat,5,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Billions,DK/REF,DK/REF,,40,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,65,65+,Republican,5,High school or less,,White,,Strongly Approve,Equally knowlegeable,Not very well informed,Never,Millions,High GDP,DK/REF,,,TRUE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,49,45-54,Republican,5,College degree,,White,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,0,FALSE,TRUE,FALSE,DK/REF,Don't know,
Female,37,35-44,Democrat,Strong Liberal,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Billions,High GDP,DK/REF,,30,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,57,55-64,Republican,Strong Conservative,College degree,,Asian,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,Warren Buffett,,TRUE,TRUE,FALSE,Barack Obama,,Don't know
Male,43,35-44,Independent,DK/REF,College degree,,Asian,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Billions,DK/REF,Incorrect,,100,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,56,55-64,Independent,5,Some college,,DK/REF,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,22,18-24,Independent,Strong Liberal,College degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Correct,,75,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,46,45-54,Independent,5,Graduate degree,,White,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,allen greenspan,30,FALSE,FALSE,FALSE,Barack Obama,,
Male,25,25-34,Democrat,Not very Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Paul krugaen,10,FALSE,FALSE,FALSE,Barack Obama,,
DK/REF,33,25-34,Republican,5,Some college,,Asian,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a week,Trillions,High GDP,Correct,Paul Krugman,15,FALSE,FALSE,FALSE,Barack Obama,,
Male,75,65+,Independent,5,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Larry Cudlow,29,FALSE,FALSE,FALSE,Barack Obama,,
Female,38,35-44,Democrat,Strong Conservative,High school or less,,Latino,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,Billions,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,28,25-34,Republican,Not Very Strong conservative,Some college,,DK/REF,,DK/REF,Equally knowlegeable,Not very well informed,Once a week,Trillions,High GDP,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,66,65+,Republican,Strong Conservative,College degree,,Other,Hispanic,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,DK/REF,Incorrect,Lasser,80,TRUE,FALSE,FALSE,Vladimir Putin,,
Male,51,45-54,Republican,Not Very Strong conservative,Graduate degree,,White,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Incorrect,Dr.Dotzour,10,FALSE,TRUE,FALSE,Barack Obama,,
Female,20,18-24,Democrat,5,High school or less,,Black,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,Billions,DK/REF,DK/REF,,10,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,35,35-44,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,25,TRUE,FALSE,FALSE,Vladimir Putin,Don't know,
Male,30,25-34,Democrat,5,High school or less,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a week,DK/REF,High GDP,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,40,35-44,Republican,Not Very Strong conservative,Some college,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Once a month,Millions,DK/REF,DK/REF,,30,FALSE,FALSE,FALSE,Vladimir Putin,Don't know,
DK/REF,28,25-34,Independent,DK/REF,Graduate degree,,DK/REF,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Alan Greenspan,35,FALSE,FALSE,FALSE,DK/REF,,
Male,47,45-54,Independent,Strong Conservative,DK/REF,,Latino,,Strongly Approve,More knowlegeable,Well Informed,Once a year,DK/REF,High GDP,DK/REF,,,DK/REF,TRUE,TRUE,DK/REF,Don't know,Don't know
Female,49,45-54,Independent,5,College degree,,White,,DK/REF,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,DK/REF,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,70,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,,75,FALSE,TRUE,FALSE,DK/REF,Don't know,
Male,50,45-54,Independent,5,Some college,,Black,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,10,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,45,45-54,Independent,5,Some college,,DK/REF,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,DK/REF,DK/REF,DK/REF,Barack Obama,Don't know,Don't know
Female,42,35-44,Democrat,5,Some college,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,Incorrect,,10,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,56,55-64,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,50,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,63,55-64,Democrat,5,Some college,,White,,Strongly Disapprove,Less knowlegeable,Not very well informed,Once a month,Billions,High GDP,Correct,,10,DK/REF,TRUE,FALSE,Barack Obama,Don't know,
Female,61,55-64,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Billions,Low GDP,Incorrect,,45,TRUE,FALSE,FALSE,DK/REF,Don't know,
Male,62,55-64,Democrat,Not Very Strong conservative,Some college,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,50,FALSE,FALSE,FALSE,DK/REF,Don't know,
Male,29,25-34,Independent,Strong Conservative,Some college,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Incorrect,Al Gore,25,FALSE,FALSE,FALSE,Barack Obama,,
Male,30,25-34,Independent,5,Graduate degree,,White,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,50,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,55,55-64,Independent,DK/REF,High school or less,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,40,35-44,Independent,Strong Conservative,College degree,,Latino,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,,FALSE,FALSE,FALSE,DK/REF,Don't know,Don't know
Male,48,45-54,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Donald Greenspan,,TRUE,FALSE,FALSE,DK/REF,,Don't know
Male,50,45-54,Independent,Not Very Strong conservative,Some college,,White,,Neither approve nor disapprove,DK/ REF,Well Informed,Never,Billions,DK/REF,DK/REF,,,DK/REF,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,30,25-34,Independent,5,Some college,,Black,,DK/REF,Equally knowlegeable,Not very well informed,Once a year,Millions,High GDP,Incorrect,Kenneth Arrow,1,TRUE,TRUE,FALSE,Barack Obama,,
Female,22,18-24,Democrat,5,College degree,,Black,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,47,45-54,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,Robert Rubin,5,TRUE,FALSE,FALSE,Barack Obama,,
Female,18,18-24,Democrat,5,High school or less,,Latino,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a week,Billions,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,21,18-24,Democrat,Strong Liberal,College degree,,Black,,Strongly Disapprove,More knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Correct,,27,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,55,55-64,Democrat,Strong Liberal,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,50,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,66,65+,Democrat,Strong Liberal,Some college,,Latino,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,,90,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,39,35-44,Independent,Not Very Strong conservative,Graduate degree,,DK/REF,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Allen Greenstean,10,FALSE,FALSE,FALSE,Barack Obama,,
Female,64,55-64,DK/REF,5,Some college,,White,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Vladimir Putin,Don't know,Don't know
Male,87,65+,Independent,5,Graduate degree,,Other,Mediterranean,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Kudlow,10,FALSE,FALSE,FALSE,Barack Obama,,
Female,40,35-44,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Millions,High GDP,Correct,,,FALSE,FALSE,FALSE,DK/REF,Don't know,Don't know
Male,73,65+,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Larry Kudlow,20,FALSE,FALSE,FALSE,DK/REF,,
Male,65,65+,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Incorrect,Micheal Lehman,45,TRUE,FALSE,FALSE,Barack Obama,,
Female,69,65+,Independent,5,College degree,,White,,Somewhat Approve,Equally knowlegeable,Not very well informed,DK/REF,Trillions,High GDP,Correct,,75,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,57,55-64,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,10,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,50,45-54,DK/REF,DK/REF,Some college,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Incorrect,,0,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,69,65+,Independent,Strong Liberal,Graduate degree,,Latino,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Alan Greenspan,1,FALSE,TRUE,FALSE,Barack Obama,,
Female,21,18-24,Democrat,Strong Conservative,College degree,,Asian,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a month,Trillions,DK/REF,Correct,,50,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,32,25-34,Independent,5,College degree,,White,,Somewhat Disapprove,More knowlegeable,Well Informed,More than once,Trillions,Low GDP,Incorrect,,25,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,54,45-54,Independent,5,Some college,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a month,Trillions,DK/REF,Incorrect,Alan Greenstan,,FALSE,FALSE,FALSE,Barack Obama,,Don't know
Female,61,55-64,Democrat,5,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,50,45-54,Independent,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Less knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Milton Friedman,0,FALSE,TRUE,FALSE,Barack Obama,,
Male,47,45-54,Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,Less knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Incorrect,,10,DK/REF,FALSE,FALSE,Barack Obama,Don't know,
Female,30,25-34,Democrat,Not Very Strong conservative,Some college,,Latino,,Strongly Disapprove,Equally knowlegeable,DK/REF,Once a year,DK/REF,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,54,45-54,Democrat,DK/REF,College degree,,Latino,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Once a year,Billions,High GDP,Correct,,,TRUE,TRUE,DK/REF,DK/REF,Don't know,Don't know
Female,40,35-44,DK/REF,5,High school or less,,White,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,5,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,56,55-64,Independent,Strong Conservative,High school or less,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,DK/REF,DK/REF,DK/REF,,,DK/REF,DK/REF,DK/REF,Barack Obama,Don't know,Don't know
Female,69,65+,Independent,Not very Strong Liberal,Graduate degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,DK/REF,DK/REF,,0,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,70,65+,Republican,5,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,,FALSE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,34,25-34,Independent,5,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,Billions,Low GDP,Incorrect,,15,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,64,55-64,Democrat,5,Some college,,Latino,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,DK/REF,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,32,25-34,Democrat,5,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Correct,,30,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,30,25-34,DK/REF,DK/REF,High school or less,,White,,Somewhat Disapprove,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,56,55-64,Democrat,5,High school or less,,Black,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,Billions,High GDP,DK/REF,,0,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,50,45-54,Independent,Not very Strong Liberal,High school or less,,Black,,Strongly Approve,Equally knowlegeable,Well Informed,Never,DK/REF,High GDP,DK/REF,,,TRUE,FALSE,TRUE,DK/REF,Don't know,Don't know
Male,55,55-64,Independent,DK/REF,High school or less,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Male,55,55-64,Independent,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,54,45-54,Independent,5,College degree,,White,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,50,TRUE,TRUE,TRUE,Barack Obama,Don't know,
Female,45,45-54,Independent,5,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,20,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,64,55-64,Independent,5,College degree,,White,,DK/REF,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,15,DK/REF,FALSE,FALSE,DK/REF,Don't know,
Male,69,65+,Republican,5,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,More than once,Billions,High GDP,Correct,Kudlow,,FALSE,FALSE,FALSE,DK/REF,,Don't know
Male,62,55-64,Republican,5,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Friedman,15,FALSE,FALSE,FALSE,Barack Obama,,
Female,22,18-24,DK/REF,DK/REF,High school or less,,DK/REF,,Strongly Approve,More knowlegeable,Well Informed,More than once,Trillions,DK/REF,Correct,Mark Zuckerburg,100,TRUE,FALSE,FALSE,DK/REF,,
Female,69,65+,Independent,Strong Liberal,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Millions,High GDP,Correct,Alan Greenspan,,TRUE,FALSE,FALSE,Barack Obama,,Don't know
Female,36,35-44,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,DK/REF,DK/REF,DK/REF,,,DK/REF,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Male,41,35-44,Independent,5,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a week,DK/REF,High GDP,DK/REF,,50,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,71,65+,Republican,Strong Conservative,Graduate degree,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Thomas Sowell,10,FALSE,TRUE,FALSE,DK/REF,,
Male,55,55-64,Democrat,Strong Conservative,College degree,,Black,,Somewhat Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Correct,,25,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,53,45-54,Independent,5,Graduate degree,,White,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,49,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,56,55-64,Democrat,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,20,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,25,25-34,Independent,Not Very Strong conservative,Graduate degree,,Asian,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a year,Billions,High GDP,Incorrect,,75,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,66,65+,DK/REF,DK/REF,High school or less,,White,,DK/REF,DK/ REF,DK/REF,Never,Trillions,DK/REF,DK/REF,,,DK/REF,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,62,55-64,Independent,Strong Conservative,Some college,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,50,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,26,25-34,Democrat,Not very Strong Liberal,College degree,,Asian,,Somewhat Disapprove,Less knowlegeable,Not very well informed,Never,Trillions,High GDP,DK/REF,,60,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,58,55-64,Democrat,5,High school or less,,Black,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,TRUE,TRUE,Barack Obama,Don't know,Don't know
DK/REF,98,65+,DK/REF,DK/REF,College degree,,DK/REF,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,DK/REF,DK/REF,DK/REF,,100,FALSE,FALSE,FALSE,Vladimir Putin,Don't know,
Female,60,55-64,Republican,5,Some college,,White,,Somewhat Approve,Equally knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,DK/REF,,50,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,56,55-64,Independent,DK/REF,Some college,,White,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,50,FALSE,TRUE,TRUE,DK/REF,Don't know,
Male,19,18-24,Republican,Not Very Strong conservative,Graduate degree,,White,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Frederick Norman,,DK/REF,FALSE,FALSE,Barack Obama,,Don't know
Male,60,55-64,Democrat,Strong Liberal,Some college,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,20,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,33,25-34,Independent,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a week,Trillions,Low GDP,Incorrect,,10,FALSE,FALSE,FALSE,DK/REF,Don't know,
Female,58,55-64,Independent,5,Some college,,Latino,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,DK/REF,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Male,48,45-54,Democrat,5,Graduate degree,,Black,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,Low GDP,Correct,,50,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,31,25-34,DK/REF,DK/REF,Some college,,DK/REF,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,0,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,22,18-24,Independent,Not very Strong Liberal,Some college,,Latino,,Strongly Disapprove,More knowlegeable,Not very well informed,Once a month,Trillions,High GDP,Incorrect,,20,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,35,35-44,Independent,Not very Strong Liberal,Graduate degree,,Asian,,Neither approve nor disapprove,DK/ REF,Well Informed,Once a week,Billions,High GDP,Incorrect,,27,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,50,45-54,Independent,Not Very Strong conservative,Some college,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,90,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,60,55-64,Democrat,5,High school or less,,Black,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,Billions,High GDP,DK/REF,,,TRUE,FALSE,TRUE,Barack Obama,Don't know,Don't know
Female,65,65+,Independent,DK/REF,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Incorrect,,,FALSE,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Female,27,25-34,Independent,Strong Conservative,College degree,,Latino,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Billions,High GDP,Correct,,40,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,53,45-54,Democrat,Not Very Strong conservative,Some college,,Latino,,Somewhat Approve,Equally knowlegeable,Well Informed,Once a year,Billions,DK/REF,Incorrect,Bill Gates,,TRUE,TRUE,FALSE,Barack Obama,,Don't know
Female,57,55-64,Democrat,5,Some college,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,Low GDP,Incorrect,,100,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,35,35-44,Democrat,5,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,DK/REF,DK/REF,Correct,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,62,55-64,Democrat,5,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,More than once,Trillions,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,22,18-24,Independent,5,College degree,,Latino,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Once a year,Billions,High GDP,Correct,Thomas Knight,30,FALSE,FALSE,FALSE,Barack Obama,,
