What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Male,27,25-34,Democrat,5,College degree,,Latino,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Jon Bond,30,FALSE,TRUE,FALSE,Barack Obama,,
Female,32,25-34,DK/REF,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,Barbara Bergmann,50,TRUE,FALSE,FALSE,DK/REF,,
Male,27,25-34,Independent,5,High school or less,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a month,Billions,DK/REF,DK/REF,,20,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,40,35-44,Independent,5,Graduate degree,,Black,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Billions,High GDP,Correct,Dr. Richard Wolff,50,FALSE,TRUE,FALSE,Barack Obama,,
Male,30,25-34,Democrat,5,Graduate degree,,Black,,Strongly Approve,Less knowlegeable,Well Informed,Once a year,Trillions,High GDP,DK/REF,,1,TRUE,TRUE,TRUE,Barack Obama,Don't know,
Male,46,45-54,Republican,5,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,Incorrect,Rush Limbaugh,50,TRUE,TRUE,FALSE,Vladimir Putin,,
Female,56,55-64,Republican,5,High school or less,,White,,DK/REF,Equally knowlegeable,Well Informed,Once a month,Millions,High GDP,Incorrect,,3,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,41,35-44,Democrat,5,College degree,,Latino,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Incorrect,,0,FALSE,TRUE,FALSE,DK/REF,Don't know,
DK/REF,50,45-54,Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Art Laffer,30,TRUE,TRUE,FALSE,DK/REF,,
Female,50,45-54,Democrat,Not Very Strong conservative,Graduate degree,,Black,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,Billions,Low GDP,Incorrect,,26,TRUE,TRUE,FALSE,Barack Obama,Don't know,
